"","Name","Age","Since","Current.Position","company_code","company_name"
"301","Nina Bibby",NA,2012,"Non-Executive Independent Director","BDEV","BARRATT DEVEL."
"302","Jock Lennox",62,2016,"Non-Executive Independent Director","BDEV","BARRATT DEVEL."
"303","Sharon White",NA,2018,"Non-Executive Independent Director","BDEV","BARRATT DEVEL."
"304","Chloe Barnes",NA,2016,"Head of Investor Relations","BDEV","BARRATT DEVEL."
"305","Anthony Rudd",71,2014,"Non-Executive Chairman of the Board","BBA","BBA AVIATION"
"306","Mark Johnstone",NA,2018,"Chief Executive Officer","BBA","BBA AVIATION"
"307","David Crook",49,2017,"Group Finance Director, Director","BBA","BBA AVIATION"
"308","Gareth Hall",NA,2013,"President and Managing Director of Ontic","BBA","BBA AVIATION"
"309","Tony Lefebvre",NA,2017,"President and Chief Operating Officer of Signature TECHNICAir","BBA","BBA AVIATION"
"310","Maria Sastre",NA,2013,"President and Chief Operating Officer, Signature Flight Support","BBA","BBA AVIATION"
"311","Erik Keller",NA,2012,"Group Chief Information Officer","BBA","BBA AVIATION"
"312","Kevin Erickson",NA,2015,"Group Director of Human Resources","BBA","BBA AVIATION"
"313","David Blizzard",NA,2016,"Group Company Secretary","BBA","BBA AVIATION"
"314","Wayne Edmunds",63,2018,"Non-Executive Director","BBA","BBA AVIATION"
"315","Victoria Jarman",NA,2019,"Non-Executive Director","BBA","BBA AVIATION"
"316","Stephen King",58,2019,"Non-Executive Director","BBA","BBA AVIATION"
"317","Amee Chande",44,2018,"Non-Executive Independent Director","BBA","BBA AVIATION"
"318","Peter Edwards",62,2016,"Non-Executive Independent Director","BBA","BBA AVIATION"
"319","Emma Gilthorpe",47,2018,"Non-Executive Independent Director","BBA","BBA AVIATION"
"320","Susan Kilsby",60,2016,"Senior Independent Non-Executive Director","BBA","BBA AVIATION"
"321","Peter Ventress",NA,2016,"Non-Executive Independent Director","BBA","BBA AVIATION"
"322","Avril Palmer-Baunack",NA,NA,"Executive Chairman of the Board","BCA","BCA MARKET"
"323","Timothy Lampert",NA,2015,"Chief Financial Officer, Executive Director","BCA","BCA MARKET"
"324","Petrus Coelewij",NA,2015,"Non-Executive Independent Director","BCA","BCA MARKET"
"325","Stephen Gutteridge",NA,2015,"Senior Non-Executive Independent Director","BCA","BCA MARKET"
"326","Jonathan Kamaluddin",NA,2015,"Non-Executive Independent Director","BCA","BCA MARKET"
"327","David Lis",NA,2016,"Non-Executive Independent Director","BCA","BCA MARKET"
"328","Tim Richmond",NA,2015,"Head - Investor Relations","BCA","BCA MARKET"
"329","Paul Smith",58,2018,"Non-Executive Chairman of the Board","BWY","BELLWAY"
"330","Jason Honeyman",NA,2018,"Chief Executive Officer, Director","BWY","BELLWAY"
"331","Keith Adey",39,2019,"Finance Director, Executive Director, IR Contact Officer","BWY","BELLWAY"
"332","Simon Scougall",NA,2019,"Group General Counsel and Company Secretary","BWY","BELLWAY"
"333","Jill Caseberry",NA,2017,"Non-Executive Independent Director","BWY","BELLWAY"
"334","Denise Jagger",60,2018,"Senior Non-Executive Independent Director","BWY","BELLWAY"
"335","Ian McHoul",NA,2018,"Non-Executive Independent Director","BWY","BELLWAY"
"336","Nicholas Vetch",NA,NA,"Executive Chairman of the Board","BYG","BIG YELLOW GRP"
"337","James Gibson",NA,2007,"Chief Executive Officer, Executive Director","BYG","BIG YELLOW GRP"
"338","John Trotman",NA,2007,"Chief Financial Officer, Executive Director","BYG","BIG YELLOW GRP"
"339","Adrian Lee",NA,2000,"Operations Director, Executive Director","BYG","BIG YELLOW GRP"
"340","Shauna Beavis",NA,2017,"Company Secretary","BYG","BIG YELLOW GRP"
"341","Richard Cotton",63,2018,"Senior Independent Non-Executive Director","BYG","BIG YELLOW GRP"
"342","Georgina Harvey",54,2013,"Independent Non-Executive Director","BYG","BIG YELLOW GRP"
"343","Stephen Johnson",53,2010,"Independent Non-Executive Director","BYG","BIG YELLOW GRP"
"344","Anna Keay",NA,2018,"Non-Executive Independent Director","BYG","BIG YELLOW GRP"
"345","Vince Niblett",NA,2017,"Non-Executive Independent Director","BYG","BIG YELLOW GRP"
"346","Nicholas Fry",NA,2012,"Non-Executive Independent Chairman of the Board","BRSC","BLACKROCK SML"
"347","Ronald Gould",71,2019,"Non-Executive Director","BRSC","BLACKROCK SML"
"348","Michael Peacock",NA,2012,"Non-Executive Director","BRSC","BLACKROCK SML"
"349","Susan Platts-Martin",NA,2016,"Non-Executive Director","BRSC","BLACKROCK SML"
"350","Caroline Burton",NA,2011,"Non-Executive Independent Director","BRSC","BLACKROCK SML"
"351","Robert Robertson",NA,2016,"Senior Independent Non-Executive Director","BRSC","BLACKROCK SML"
"352","Christopher Russell",NA,2011,"Non-Executive Independent Chairman of the Board","BCPT","BMO COMM PROP."
"353","Trudi Clark",NA,2014,"Independent Non-Executive Director","BCPT","BMO COMM PROP."
"354","Peter Cornell",NA,2015,"Independent Non-Executive Director","BCPT","BMO COMM PROP."
"355","Paul Marcuse",NA,2017,"Independent Non-Executive Director","BCPT","BMO COMM PROP."
"356","Martin Moore",61,2015,"Senior Non-Executive Independent Director","BCPT","BMO COMM PROP."
"357","David Preston",NA,2015,"Independent Non-Executive Director","BCPT","BMO COMM PROP."
"358","John Wythe",NA,2018,"Non-Executive Independent Director","BCPT","BMO COMM PROP."
"359","John Townsend",70,2007,"Non-Executive Independent Chairman of the Board","BGSC","BMO GLOBAL"
"360","Anja Balfour",NA,2015,"Non-Executive Independent Director","BGSC","BMO GLOBAL"
"361","Josephine Dixon",NA,2015,"Non-Executive Independent Director","BGSC","BMO GLOBAL"
"362","David Stileman",NA,2015,"Non-Executive Independent Director","BGSC","BMO GLOBAL"
"363","Jane Tozer",67,2005,"Non-Executive Independent Director","BGSC","BMO GLOBAL"
"364","Stephen Harris",NA,2009,"Group Chief Executive, Executive Director","BOY","BODYCOTE"
"365","Dominique Yates",49,2018,"Chief Financial Officer, Executive Director, IR Contact Officer","BOY","BODYCOTE"
"366","Ute Ball",NA,2017,"Group Company Secretary","BOY","BODYCOTE"
"367","Lili Chahbazi",NA,2018,"Non-Executive Independent Director","BOY","BODYCOTE"
"368","Ian Duncan",NA,2016,"Senior Independent Non-Executive Director","BOY","BODYCOTE"
"369","Patrick Larmon",65,2016,"Independent Non-Executive Director","BOY","BODYCOTE"
"370","Eva Lindqvist",61,2012,"Independent Non-Executive Director","BOY","BODYCOTE"
"371","Ian Tyler",57,2013,"Non-Executive Chairman of the Board","BVS","BOVIS HOMES"
"372","Greg Fitzgerald",53,2017,"Chief Executive Officer, Executive Director","BVS","BOVIS HOMES"
"373","Earl Sibley",45,2017,"Group Finance Director, Executive Director","BVS","BOVIS HOMES"
"374","James Watson",45,NA,"Division Managing Director – East Division","BVS","BOVIS HOMES"
"375","Darrell White",46,NA,"Division Managing Director – West Division","BVS","BOVIS HOMES"
"376","Keith Carnegie",48,NA,"Executive Director – Bovis Homes Limited","BVS","BOVIS HOMES"
"377","Martin Palmer",59,NA,"Group Company Secretary","BVS","BOVIS HOMES"
"378","Katherine Ker",58,2018,"Non-Executive Director","BVS","BOVIS HOMES"
"379","Mike Stansfield",61,2017,"Non-Executive Director","BVS","BOVIS HOMES"
"380","Christine Browne",NA,2014,"Independent Non-Executive Director","BVS","BOVIS HOMES"
"381","Ralph Findlay",58,2018,"Senior Non-Executive Independent Director","BVS","BOVIS HOMES"
"382","Nigel Keen",56,2016,"Independent Non-Executive Director","BVS","BOVIS HOMES"
"383","Richard Burrows",73,2009,"Non-Executive Chairman of the Board","BATS","BR.AMER.TOB."
"384","Jack Bowles",54,2019,"Chief Executive Officer, Director","BATS","BR.AMER.TOB."
"385","J. Ben Stevens",60,2014,"Finance Director, Executive Director","BATS","BR.AMER.TOB."
"386","Ricardo Oberlander",54,2018,"President and Chief Executive Officer of Reynolds American Inc.","BATS","BR.AMER.TOB."
"387","Kingsley Wheaton",45,2019,"Chief Marketing Officer, Regional Director - Americas and Sub Saharan Africa (AMSSA)","BATS","BR.AMER.TOB."
"388","Jerome Abelman",54,2015,"Director, Legal & External Affairs and General Counsel","BATS","BR.AMER.TOB."
"389","Hae Kim",NA,2019,"Group Human Resources Director","BATS","BR.AMER.TOB."
"390","Marina Bellini",NA,2018,"Director - Digital and Information","BATS","BR.AMER.TOB."
"391","Luciano Comin",NA,2019,"Regional Director - Americas and Sub Saharan Africa (AMSSA)","BATS","BR.AMER.TOB."
"392","Alan Davy",54,2013,"Director, Operations","BATS","BR.AMER.TOB."
"393","Paul Lageweg",NA,2019,"Director - New Categories","BATS","BR.AMER.TOB."
"394","Tadeu Marroco",51,2019,"Deputy Finance Director, Director - Group Transformation","BATS","BR.AMER.TOB."
"395","Guy Meldrum",NA,2019,"Regional Director - Asia-Pacific and Middle East","BATS","BR.AMER.TOB."
"396","David O'Reilly",51,2012,"Group Scientific Director","BATS","BR.AMER.TOB."
"397","Naresh Sethi",51,2016,"Director - Business Development","BATS","BR.AMER.TOB."
"398","Johan Vandermeulen",50,2019,"Regional Director - Europe and North Africa","BATS","BR.AMER.TOB."
"399","Paul McCrory",NA,2017,"Company Secretary","BATS","BR.AMER.TOB."
"400","Susan Farr",61,2015,"Non-Executive Independent Director","BATS","BR.AMER.TOB."
"401","Ann Godbehere",64,2011,"Non-Executive Independent Director","BATS","BR.AMER.TOB."
"402","Marion Helmes",53,2016,"Non-Executive Independent Director","BATS","BR.AMER.TOB."
"403","Luc Jobin",58,2017,"Non-Executive Independent Director","BATS","BR.AMER.TOB."
"404","Holly Koeppel",60,2017,"Non-Executive Independent Director","BATS","BR.AMER.TOB."
"405","Savio Kwan",69,2014,"Non-Executive Independent Director","BATS","BR.AMER.TOB."
"406","Pedro Malan",75,2015,"Non-Executive Independent Director","BATS","BR.AMER.TOB."
"407","Dimitri Panayotopoulos",66,2015,"Non-Executive Independent Director","BATS","BR.AMER.TOB."
"408","Kieran Poynter",67,2016,"Senior Independent Non-Executive Director","BATS","BR.AMER.TOB."
"409","Mike Nightingale",NA,NA,"Head - Investor Relations","BATS","BR.AMER.TOB."
"410","Tim Score",NA,2019,"Non-Executive Chairman of the Board","BLND","BR.LAND"
"411","Christopher Grigg",NA,2009,"Chief Executive, Executive Director","BLND","BR.LAND"
"412","Simon Carter",NA,2018,"Chief Financial Officer, Executive Director","BLND","BR.LAND"
"413","Brona McKeown",NA,2018,"General Counsel, Company Secretary","BLND","BR.LAND"
"414","Darren Richards",NA,2019,"Head - Real Estate","BLND","BR.LAND"
"415","Lynn Gladden",56,2018,"Non-Executive Independent Director","BLND","BR.LAND"
"416","Alastair Hughes",NA,2018,"Non-Executive Independent Director","BLND","BR.LAND"
"417","William Jackson",NA,2017,"Senior Non-Executive Independent Director","BLND","BR.LAND"
"418","Nicholas Macpherson",NA,2018,"Non-Executive Independent Director","BLND","BR.LAND"
"419","Preben Prebensen",NA,2018,"Non-Executive Independent Director","BLND","BR.LAND"
"420","Laura Wade-Gery",NA,2018,"Non-Executive Independent Director","BLND","BR.LAND"
"421","Rebecca Worthington",NA,2018,"Non-Executive Independent Director","BLND","BR.LAND"
"422","Gemma Wilson",NA,2017,"Investor Relations Co-ordinator","BLND","BR.LAND"
"423","Simon Miller",NA,2013,"Non-Executive Chairman of the Board","BRW","BREWIN DOLPHIN"
"424","David Nicol",59,2013,"Chief Executive Officer, Executive Director","BRW","BREWIN DOLPHIN"
"425","Siobhan Boylan",NA,2019,"Finance Director, Executive Director","BRW","BREWIN DOLPHIN"
"426","Tiffany Brill",NA,2017,"Company Secretary","BRW","BREWIN DOLPHIN"
"427","Michael Kellard",NA,2017,"Non-Executive Director","BRW","BREWIN DOLPHIN"
"428","Simonetta Rigo",NA,2018,"Non-Executive Director","BRW","BREWIN DOLPHIN"
"429","Kath Cates",NA,2017,"Senior Non-Executive Independent Director","BRW","BREWIN DOLPHIN"
"430","Ian Dewar",NA,2019,"Senior Independent Non-Executive Director","BRW","BREWIN DOLPHIN"
"431","Caroline Taylor",NA,2014,"Independent Non-Executive Director","BRW","BREWIN DOLPHIN"
"432","Paul Wilson",NA,2013,"Independent Non-Executive Director","BRW","BREWIN DOLPHIN"
"433","John Daly",NA,2017,"Non-Executive Chairman of the Board","BVIC","BRITVIC"
"434","Simon Litherland",53,2013,"Chief Executive Officer, Executive Director","BVIC","BRITVIC"
"435","Joanne Wilson",NA,2019,"Chief Financial Officer, Director","BVIC","BRITVIC"
"436","Joao de Mello Neto",NA,2017,"Chief Executive Officer - Ebba Brazil","BVIC","BRITVIC"
"437","Zareena Brown",NA,2018,"Chief Human Resources Officer","BVIC","BRITVIC"
"438","Steve Potts",NA,2018,"Chief Information, Transformation and Digital Officer","BVIC","BRITVIC"
"439","Matt Barwell",NA,NA,"Chief Marketing Officer","BVIC","BRITVIC"
"440","Hessel De Jong",NA,2015,"Managing Director - International","BVIC","BRITVIC"
"441","Kevin Donnelly",NA,2016,"Managing Director - Ireland","BVIC","BRITVIC"
"442","Paul Graham",NA,2015,"Managing Director - GB","BVIC","BRITVIC"
"443","Olivier Mercier",NA,2018,"Managing Director","BVIC","BRITVIC"
"444","Clive Hooper",NA,2016,"Chief Supply Chain Officer","BVIC","BRITVIC"
"445","Jonathan Adelman",NA,2018,"Company Secretary","BVIC","BRITVIC"
"446","Suniti Chauhan",NA,2017,"Independent Non-Executive Director","BVIC","BRITVIC"
"447","Sue Clark",55,2016,"Independent Non-Executive Director","BVIC","BRITVIC"
"448","William Eccleshare",NA,2017,"Independent Non-Executive Director","BVIC","BRITVIC"
"449","Ian McHoul",NA,2017,"Senior Non-Executive Independent Director","BVIC","BRITVIC"
"450","Euan Sutherland",NA,2016,"Independent Non-Executive Director","BVIC","BRITVIC"
"451","Steve Nightingale",NA,2016,"Director of Investor Relations","BVIC","BRITVIC"
"452","Dame Pamela Louise Makin",NA,2004,"Chief Executive Officer, Executive Director","BTG","BTG"
"453","Duncan Kennedy",NA,2018,"Chief Financial Officer, Executive Director","BTG","BTG"
"454","Paul Mussenden",NA,2010,"General Counsel, Head of Strategic Affairs, Company Secretary","BTG","BTG"
"455","Gregory Barrett",65,2017,"Independent Non-Executive Director","BTG","BTG"
"456","Susan Foden",NA,2015,"Independent Non-Executive Director","BTG","BTG"
"457","Graham Hetherington",56,2018,"Senior Independent Non-Executive Director","BTG","BTG"
"458","Ian Much",NA,2010,"Independent Non-Executive Director","BTG","BTG"
"459","W. James O'Shea",68,2009,"Independent Non-Executive Director","BTG","BTG"
"460","Anne Thorburn",NA,2018,"Independent Non-Executive Director","BTG","BTG"
"461","Richard Wohanka",NA,2013,"Independent Non-Executive Director","BTG","BTG"
"462","Andy Burrows",NA,2017,"Vice President - Corporate and Investor Relations","BTG","BTG"
"463","Philip Rogerson",73,2010,"Non-Executive Chairman of the Board","BNZL","BUNZL"
"464","Peter Ventress",NA,2019,"Non-Executive Chairman Designate of the Board","BNZL","BUNZL"
"465","Patrick Larmon",65,2018,"President and Chief Executive Officer, North America","BNZL","BUNZL"
"466","Frank van Zanten",51,2016,"Chief Executive, Executive Director","BNZL","BUNZL"
"467","Brian May",NA,2006,"Finance Director, Executive Director","BNZL","BUNZL"
"468","Paul Hussey",NA,NA,"General Counsel, Company Secretary","BNZL","BUNZL"
"469","Paul Budge",NA,2016,"Managing Director - Continental Europe","BNZL","BUNZL"
"470","Kim Hetherington",NA,NA,"Managing Director - Australasia","BNZL","BUNZL"
"471","Jonathan Taylor",NA,NA,"Managing Director - Latin America","BNZL","BUNZL"
"472","Andrew Tedbury",NA,NA,"Managing Director UK and Ireland","BNZL","BUNZL"
"473","Julie Welch",NA,NA,"Director of Group Human Resources","BNZL","BUNZL"
"474","Andrew Mooney",NA,NA,"Director - Corporate Development","BNZL","BUNZL"
"475","Vanda Murray",58,2017,"Senior Independent Non-Executive Director","BNZL","BUNZL"
"476","Stephan Nanninga",NA,2017,"Non-Executive Independent Director","BNZL","BUNZL"
"477","Lloyd Pitchford",46,2017,"Non-Executive Independent Director","BNZL","BUNZL"
"478","Eugenia Ulasewicz",64,2011,"Non-Executive Independent Director","BNZL","BUNZL"
"479","Gerry Murphy",NA,2018,"Designate Chairman of the Board","BRBY","BURBERRY GRP"
"480","Marco Gobbetti",59,2017,"Chief Executive Officer, Executive Director","BRBY","BURBERRY GRP"
"481","Julie Brown",55,2017,"Chief Financial Officer, Chief Operating Officer, Executive Director","BRBY","BURBERRY GRP"
"482","Gianluca Flore",NA,NA,"President of Americas & Global Retail Excellence","BRBY","BURBERRY GRP"
"483","Marco Gentile",NA,2017,"President of Europe, Middle East, India & Africa","BRBY","BURBERRY GRP"
"484","Pascal Perrier",NA,2013,"Chief Executive Officer - Asia Pacific","BRBY","BURBERRY GRP"
"485","Sarah Manley",NA,2010,"Chief Marketing Officer","BRBY","BURBERRY GRP"
"486","Roberto Canevari",NA,NA,"Chief Supply Chain Officer","BRBY","BURBERRY GRP"
"487","Judy Collinson",NA,NA,"Chief Merchandising Officer","BRBY","BURBERRY GRP"
"488","Gavin Haig",NA,NA,"Chief Commercial Officer","BRBY","BURBERRY GRP"
"489","Leanne Wood",NA,NA,"Chief People and Corporate Affairs Officer","BRBY","BURBERRY GRP"
"490","Fabiola Arredondo de Vara",51,2015,"Non-Executive Independent Director","BRBY","BURBERRY GRP"
"491","Jeremy Darroch",55,2017,"Senior Non-Executive Independent Director","BRBY","BURBERRY GRP"
"492","Ronald Frasch",70,2017,"Non-Executive Independent Director","BRBY","BURBERRY GRP"
"493","Matthew Key",55,2013,"Non-Executive Independent Director","BRBY","BURBERRY GRP"
"494","Dame Carolyn McCall",57,2014,"Non-Executive Independent Director","BRBY","BURBERRY GRP"
"495","Orna NiChionna",NA,2018,"Non-Executive Independent Director","BRBY","BURBERRY GRP"
"496","Ian Tyler",57,2014,"Independent Non-Executive Chairman of the Board","CNE","CAIRN ENERGY"
"497","Simon Thomson",53,2011,"Chief Executive, Executive Director","CNE","CAIRN ENERGY"
"498","James Smith",41,2014,"Chief Financial Officer, Executive Director","CNE","CAIRN ENERGY"
"499","Duncan Wood",NA,NA,"Company Secretary","CNE","CAIRN ENERGY"
"500","Alexander Berger",52,2010,"Independent Non-Executive Director","CNE","CAIRN ENERGY"
"501","Nicoletta Giadrossi-Morel",52,2017,"Independent Non-Executive Director","CNE","CAIRN ENERGY"
"502","Todd Hunt",65,2003,"Independent Non-Executive Director","CNE","CAIRN ENERGY"
"503","Peter Kallos",58,2015,"Independent Non-Executive Director","CNE","CAIRN ENERGY"
